Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.982473,0.979874,0.982659,0.985054,0.980228,0.979814,0.984873,0.981839,0.981964,0.979548,0.980242,0.983030,0.984287,0.983757,0.981661,0.981631,0.979095
0.981224,0.979258,0.981044,0.981004,0.978197,0.976985,0.980827,0.978185,0.981381,0.976921,0.977552,0.980987,0.980968,0.980649,0.979913,0.980093,0.978941
0.980403,0.978690,0.979344,0.980963,0.977898,0.977076,0.980299,0.976302,0.978824,0.973543,0.977601,0.979671,0.981779,0.979029,0.982406,0.979742,0.978019
0.981759,0.978814,0.979344,0.980680,0.977598,0.977438,0.983553,0.977797,0.979407,0.973825,0.977209,0.979983,0.980378,0.980299,0.984870,0.980357,0.978710
0.980760,0.978740,0.979089,0.980842,0.978364,0.977279,0.982938,0.978462,0.981067,0.974669,0.978725,0.980121,0.981263,0.980167,0.988137,0.980533,0.979863
0.979296,0.978000,0.980874,0.980680,0.976100,0.976781,0.981003,0.977853,0.978330,0.979642,0.977405,0.980952,0.981189,0.981349,0.985185,0.979566,0.979018
0.980617,0.978715,0.980449,0.980882,0.976400,0.976623,0.983025,0.976469,0.979721,0.980298,0.978041,0.979567,0.982148,0.980780,0.983036,0.977984,0.978172
0.980224,0.979085,0.982149,0.980680,0.976999,0.976510,0.978804,0.978130,0.980349,0.977296,0.978285,0.979463,0.981779,0.980649,0.981116,0.980401,0.979556
0.980046,0.980392,0.980959,0.980558,0.977764,0.978004,0.982850,0.978406,0.982099,0.975232,0.979312,0.980433,0.982296,0.981305,0.980916,0.980181,0.978172
0.980545,0.978814,0.979684,0.979384,0.978264,0.977506,0.981442,0.978240,0.980888,0.975514,0.977894,0.981368,0.982001,0.980123,0.978537,0.979170,0.979402
0.979189,0.977950,0.981129,0.978411,0.976699,0.977709,0.978892,0.976579,0.980663,0.980204,0.978041,0.980987,0.981115,0.978679,0.976331,0.979961,0.979786
0.979582,0.978912,0.981129,0.981247,0.977432,0.978501,0.978188,0.978462,0.979721,0.976546,0.977063,0.979567,0.980525,0.981130,0.977363,0.979214,0.979556
0.979367,0.979529,0.980619,0.981044,0.977631,0.977279,0.980123,0.978019,0.980708,0.976452,0.977112,0.980675,0.981263,0.980649,0.978480,0.978643,0.979018
0.978118,0.978764,0.979344,0.980153,0.977332,0.977574,0.981179,0.977188,0.982458,0.975232,0.975302,0.980329,0.981484,0.979948,0.977993,0.978819,0.978557
0.976976,0.976791,0.977729,0.980356,0.977032,0.976985,0.979683,0.976690,0.979900,0.975701,0.975155,0.979775,0.981484,0.980649,0.977391,0.979082,0.978557
0.976405,0.977556,0.978919,0.979910,0.975667,0.976397,0.981530,0.975915,0.979183,0.974575,0.974813,0.979602,0.980230,0.980211,0.977248,0.977896,0.976943
0.977297,0.976249,0.978069,0.979303,0.975268,0.975311,0.979332,0.976856,0.978016,0.975701,0.974422,0.979048,0.980746,0.980693,0.976904,0.979302,0.975944
0.976262,0.976347,0.978069,0.976265,0.973437,0.974179,0.975901,0.974475,0.978061,0.974857,0.973150,0.977247,0.977648,0.977409,0.976933,0.976138,0.975867
0.975833,0.975731,0.976284,0.977075,0.974136,0.974292,0.977748,0.974531,0.978106,0.975326,0.974862,0.976935,0.980230,0.978854,0.977391,0.977852,0.974944
