Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.985625,0.982027,0.985955,0.982220,0.986924,0.982193,0.980108,0.981895,0.984321,0.981492,0.982868,0.985981,0.984466,0.984172,0.983981,0.984068,0.985335
0.987615,0.980644,0.987515,0.981582,0.984683,0.983745,0.982650,0.984206,0.983327,0.982658,0.981681,0.985174,0.986452,0.985763,0.985343,0.985669,0.987319
0.987101,0.982915,0.986301,0.983017,0.983250,0.981867,0.980257,0.982184,0.981033,0.987613,0.983886,0.986212,0.985284,0.984809,0.983817,0.986614,0.986629
0.985754,0.981582,0.987515,0.982220,0.981258,0.981376,0.977864,0.981606,0.981185,0.986739,0.981766,0.986616,0.985517,0.985604,0.983000,0.983341,0.985421
0.985625,0.981335,0.985608,0.981422,0.980947,0.980314,0.979061,0.979777,0.980344,0.986301,0.981596,0.984251,0.982714,0.985286,0.983872,0.982540,0.984731
0.984085,0.981582,0.988209,0.982618,0.980822,0.981254,0.979510,0.980258,0.980191,0.987759,0.983123,0.985289,0.981196,0.986399,0.982946,0.982322,0.984299
0.984021,0.981928,0.986648,0.979987,0.980386,0.981826,0.979061,0.981029,0.981185,0.982950,0.981596,0.983904,0.980729,0.985445,0.983000,0.983413,0.982660
0.983379,0.979558,0.985434,0.978472,0.981445,0.980274,0.976967,0.978621,0.979044,0.986156,0.981511,0.982866,0.982831,0.983775,0.981311,0.982104,0.983437
0.982930,0.980150,0.983353,0.979748,0.980448,0.979743,0.976668,0.980451,0.980191,0.983095,0.980578,0.982001,0.979678,0.983377,0.980112,0.982613,0.983437
0.982545,0.979805,0.985261,0.981901,0.980697,0.978191,0.979061,0.979006,0.981721,0.985864,0.980663,0.981193,0.980145,0.983854,0.982619,0.980722,0.983609
0.982160,0.980002,0.985087,0.979908,0.979328,0.977660,0.977416,0.980162,0.980650,0.983970,0.980324,0.982231,0.981313,0.985047,0.981202,0.980285,0.981712
0.982353,0.979656,0.981966,0.978791,0.977522,0.976557,0.978014,0.979199,0.977973,0.985135,0.978119,0.981597,0.981897,0.983457,0.980984,0.980285,0.981108
0.982994,0.980693,0.983353,0.979349,0.978207,0.977946,0.979061,0.977369,0.978738,0.982367,0.979052,0.980443,0.982364,0.982979,0.981910,0.981158,0.981108
0.982673,0.980101,0.983007,0.978951,0.977335,0.976680,0.977715,0.978140,0.978891,0.982367,0.979052,0.980039,0.981780,0.981786,0.980875,0.980212,0.981453
0.982866,0.981582,0.985087,0.980545,0.976277,0.977456,0.978762,0.980547,0.977438,0.984698,0.978119,0.981481,0.979327,0.981389,0.980276,0.980794,0.982057
0.982224,0.982372,0.983527,0.976798,0.976650,0.976598,0.975770,0.977947,0.976214,0.981929,0.978543,0.979520,0.981196,0.981389,0.979458,0.981304,0.982229
0.981903,0.981829,0.984741,0.979030,0.976463,0.975536,0.978612,0.978043,0.978432,0.982221,0.978713,0.979751,0.979678,0.981150,0.979676,0.980867,0.982315
0.981454,0.981434,0.982833,0.979828,0.976277,0.975454,0.978762,0.977562,0.977438,0.983532,0.976847,0.979751,0.980846,0.981389,0.979622,0.979921,0.979382
0.981903,0.980545,0.982660,0.979030,0.974409,0.975618,0.978014,0.976984,0.976826,0.983241,0.979137,0.978597,0.981546,0.981389,0.981039,0.979048,0.979900
0.982096,0.981385,0.983353,0.978313,0.976339,0.975413,0.978463,0.975732,0.976826,0.984698,0.978204,0.980039,0.979444,0.982184,0.980221,0.978757,0.980245
0.982160,0.978224,0.979192,0.980067,0.975467,0.973862,0.976967,0.977176,0.978662,0.980472,0.974981,0.979347,0.980262,0.982661,0.979023,0.979703,0.980676
0.981839,0.978570,0.981793,0.979589,0.975841,0.973412,0.975770,0.976117,0.977820,0.981638,0.975659,0.979635,0.978743,0.981786,0.979295,0.978248,0.978951
0.980684,0.978916,0.979539,0.980147,0.977211,0.972677,0.977565,0.978332,0.977438,0.976683,0.977864,0.978366,0.979794,0.980673,0.978750,0.978248,0.978520
0.980171,0.977780,0.975204,0.982060,0.976961,0.972677,0.978163,0.975732,0.976673,0.976683,0.975490,0.978943,0.977342,0.980116,0.981420,0.978976,0.979727
0.982673,0.979113,0.978152,0.982060,0.977771,0.976108,0.978163,0.978043,0.979350,0.975663,0.977440,0.980616,0.980495,0.982741,0.982673,0.980722,0.979727
0.983123,0.980002,0.975897,0.981981,0.978207,0.977537,0.981753,0.977562,0.978662,0.975080,0.978034,0.982001,0.980612,0.981230,0.981910,0.981158,0.980417
0.982160,0.978323,0.980926,0.981821,0.978394,0.977006,0.976069,0.980162,0.978891,0.979452,0.978628,0.980443,0.980028,0.982502,0.981311,0.981231,0.980504
