Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
1.02584,0.990204,1.05077,1.01738,0.990059,0.997652,1.01017,0.997828,0.976115,0.971071,0.966667,0.975143,0.967620,0.966115,0.960240,0.983907,0.997000,0.985547
1.02062,0.982874,1.02803,1.00434,0.982559,0.983807,1.00189,0.985907,0.969549,0.970479,0.966308,0.972753,0.965577,0.966115,0.959606,0.979424,0.985819,0.979564
1.01027,0.978923,1.00952,0.993018,0.977414,0.976556,0.993432,0.979037,0.967092,0.969518,0.965302,0.972435,0.965891,0.964076,0.960989,0.977750,0.980037,0.976649
0.999365,0.976962,1.00123,0.985726,0.976368,0.973104,0.985695,0.974390,0.966016,0.969962,0.966954,0.972753,0.966363,0.967134,0.960874,0.973700,0.977637,0.975237
0.989939,0.976757,0.999824,0.982856,0.975234,0.971101,0.982006,0.974845,0.967245,0.970849,0.968463,0.975064,0.967149,0.969172,0.963179,0.973322,0.975565,0.973549
0.982385,0.974196,0.993125,0.981072,0.973403,0.968408,0.977328,0.971460,0.964327,0.969888,0.964655,0.974586,0.965734,0.966370,0.964389,0.972512,0.973437,0.972199
0.977584,0.973242,0.989600,0.978590,0.971659,0.966233,0.975079,0.968278,0.963175,0.968186,0.966739,0.974904,0.965577,0.965096,0.962141,0.970676,0.972183,0.971187
0.975643,0.972493,0.986779,0.977038,0.972226,0.965473,0.973279,0.967015,0.962560,0.969518,0.966739,0.974586,0.964634,0.968663,0.960989,0.969974,0.972837,0.970972
0.973736,0.971076,0.986956,0.975797,0.971310,0.965232,0.970670,0.967318,0.962522,0.966854,0.965661,0.975462,0.965262,0.964586,0.961162,0.969703,0.971965,0.969192
0.972289,0.970422,0.984488,0.974556,0.970133,0.964161,0.970040,0.965550,0.962445,0.968852,0.966164,0.976020,0.965420,0.965605,0.961450,0.970352,0.971310,0.968701
0.971865,0.970272,0.983430,0.972384,0.968171,0.963194,0.970670,0.964490,0.962522,0.968704,0.965230,0.973152,0.963533,0.967898,0.961162,0.969811,0.971147,0.968609
0.971265,0.970245,0.986074,0.973547,0.969305,0.963333,0.971120,0.966055,0.961447,0.967668,0.965230,0.973869,0.963848,0.963057,0.962314,0.968569,0.971747,0.968854
0.970347,0.970109,0.984488,0.972694,0.968258,0.964127,0.968871,0.964944,0.962330,0.967964,0.966882,0.970841,0.967463,0.965860,0.960413,0.968948,0.970001,0.968364
0.968476,0.969346,0.980963,0.970522,0.966165,0.964023,0.973009,0.963934,0.960756,0.967668,0.965661,0.971797,0.965262,0.962803,0.960470,0.968839,0.968747,0.967811
0.969430,0.969495,0.980434,0.970057,0.966034,0.962262,0.970220,0.961913,0.961024,0.963895,0.965014,0.972435,0.964477,0.963312,0.960413,0.967219,0.968910,0.967535
0.971230,0.970572,0.980963,0.974168,0.969392,0.963264,0.966892,0.963883,0.962560,0.966928,0.964080,0.973789,0.966834,0.965605,0.960124,0.969163,0.970274,0.967198
0.973842,0.971634,0.985369,0.970988,0.966558,0.961330,0.964103,0.962014,0.959412,0.979728,0.976149,0.992033,0.975637,0.975796,0.960297,0.967867,0.968419,0.967596
1.03248,0.988951,1.02186,0.989915,0.965555,0.976246,0.980747,0.958782,0.955879,0.993711,1.00029,1.01091,0.998585,0.992866,0.967616,0.967975,0.969619,0.969499
1.04483,1.00699,1.06293,1.02226,0.979202,1.00508,1.00108,0.967217,0.960180,0.992305,1.00144,1.01179,1.00236,0.992612,0.979774,0.977264,0.972456,0.976280
1.03509,1.00890,1.07791,1.03405,0.991541,1.01381,1.00684,0.985604,0.968781,0.992305,0.994828,1.01004,0.998743,0.992357,0.981215,0.984879,0.990946,0.982571
1.03509,1.00563,1.08637,1.03716,1.00017,1.01412,1.01215,1.00116,0.977575,0.984759,0.991954,0.994264,0.989469,0.990573,0.977239,0.988335,1.00813,0.984872
1.03495,1.00309,1.08690,1.03654,1.00445,1.01378,1.01287,1.01339,0.981760,0.977508,0.980316,0.982075,0.977523,0.980127,0.966636,0.988443,1.01849,0.985179
1.03456,1.00174,1.08708,1.03374,1.00645,1.01409,1.01413,1.02243,0.982567,0.971663,0.969684,0.973709,0.966677,0.974268,0.960643,0.988227,1.02384,0.986406
1.03294,0.999973,1.08003,1.03072,1.00358,1.01174,1.01053,1.02495,0.984794,0.970405,0.965661,0.969567,0.961490,0.966115,0.959030,0.986337,1.02329,0.985946
1.02955,0.996676,1.06646,1.02591,0.994811,1.00694,1.00954,1.01955,0.978035,0.966484,0.961566,0.967097,0.962590,0.963567,0.956667,0.983097,1.01636,0.982694
1.02429,0.990558,1.04495,1.02025,0.984478,1.00173,1.00810,1.00889,0.971008,0.964783,0.960776,0.970363,0.959918,0.961784,0.955687,0.979046,1.00311,0.979594
1.01560,0.983011,1.02327,1.00962,0.978723,0.991610,1.00360,0.993787,0.963981,0.964413,0.962141,0.969168,0.962119,0.962803,0.955687,0.975050,0.990400,0.974224
1.00547,0.979768,1.01111,1.00124,0.975714,0.983289,0.997211,0.983987,0.962330,0.966410,0.962428,0.969726,0.963376,0.964586,0.957186,0.972782,0.982655,0.972107
0.994246,0.975967,1.00194,0.990536,0.971397,0.974105,0.990823,0.976006,0.959450,0.965300,0.960704,0.969646,0.959132,0.962803,0.954996,0.971270,0.976437,0.970910
0.985315,0.973106,0.995064,0.984873,0.968563,0.966992,0.984166,0.971965,0.957991,0.964117,0.960848,0.970045,0.961647,0.957962,0.954765,0.969866,0.972619,0.968885
0.980443,0.972656,0.990129,0.978435,0.968040,0.965370,0.978678,0.967571,0.959028,0.964635,0.960201,0.970204,0.961962,0.962803,0.955515,0.967057,0.971419,0.967689
0.975395,0.972275,0.989424,0.976418,0.969043,0.964748,0.971300,0.965803,0.960180,0.966114,0.961494,0.973072,0.963691,0.964076,0.957416,0.968515,0.972183,0.967167
0.973348,0.969673,0.987308,0.974090,0.966122,0.962504,0.971930,0.964439,0.959181,0.966262,0.960632,0.971080,0.962119,0.961784,0.955226,0.966841,0.969565,0.966553
0.971830,0.968092,0.983254,0.971143,0.964465,0.961606,0.969501,0.963378,0.959220,0.963525,0.959555,0.970363,0.961647,0.956688,0.954247,0.966301,0.969837,0.965111
0.972254,0.967411,0.979200,0.970522,0.964814,0.960225,0.968241,0.963075,0.958721,0.963969,0.959770,0.970523,0.961019,0.956688,0.954535,0.965653,0.969510,0.963791
0.971406,0.968474,0.980434,0.970677,0.967255,0.960225,0.965632,0.962014,0.959565,0.964043,0.960560,0.971718,0.960075,0.963567,0.954938,0.966409,0.971037,0.965939
0.968688,0.966975,0.982373,0.970057,0.964072,0.960329,0.966802,0.962065,0.958721,0.962637,0.960704,0.969567,0.959918,0.961274,0.955111,0.964519,0.969892,0.965142
0.969041,0.966512,0.978495,0.967497,0.963593,0.960743,0.966262,0.961560,0.958721,0.962711,0.959698,0.969009,0.960547,0.956943,0.954938,0.963709,0.968910,0.964037
