Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.985408,0.988694,0.979492,0.986638,0.989917,0.986401,0.992743,0.987890,0.991680,0.990075,0.989120,0.989819,0.988149,0.989145,0.989299,0.988388,0.989753,0.989039
0.986551,0.990447,0.982167,0.986445,0.990136,0.986650,0.990748,0.986250,0.987916,0.991029,0.990433,0.990235,0.983245,0.988467,0.988989,0.988118,0.986610,0.987973
0.986551,0.989210,0.981721,0.985476,0.990026,0.988308,0.991110,0.985619,0.989699,0.991983,0.988745,0.991066,0.986105,0.989824,0.986352,0.989738,0.985517,0.988886
0.984880,0.988832,0.985733,0.985089,0.988821,0.986650,0.990748,0.986880,0.990095,0.990838,0.990058,0.989611,0.988966,0.990502,0.988213,0.988253,0.985790,0.987745
0.984529,0.989897,0.980383,0.984702,0.988821,0.983499,0.990203,0.986376,0.988807,0.992556,0.989308,0.987741,0.987740,0.987788,0.985732,0.989198,0.985107,0.988353
0.985144,0.989347,0.980383,0.984895,0.989698,0.985821,0.990748,0.985493,0.987619,0.989884,0.989495,0.988365,0.984471,0.987110,0.986507,0.988928,0.983194,0.987973
0.985056,0.988935,0.982613,0.987800,0.987944,0.984162,0.989296,0.987385,0.987124,0.988738,0.988182,0.986079,0.984879,0.987110,0.987903,0.985012,0.984014,0.988962
0.984265,0.987835,0.977263,0.984702,0.985971,0.983499,0.990566,0.985871,0.986529,0.987784,0.987995,0.987326,0.988966,0.987110,0.987748,0.986362,0.985654,0.985461
0.985320,0.986804,0.980829,0.984508,0.988930,0.985406,0.988752,0.986124,0.988708,0.991411,0.988370,0.988157,0.981610,0.989145,0.988989,0.988523,0.984561,0.987059
0.983474,0.989485,0.981721,0.986638,0.986738,0.985323,0.988026,0.986754,0.988907,0.988738,0.989495,0.990858,0.986923,0.989145,0.987128,0.988928,0.983604,0.987592
0.984880,0.988557,0.983058,0.989156,0.986519,0.983914,0.987300,0.984988,0.987619,0.987593,0.990433,0.989819,0.986105,0.989824,0.986197,0.988793,0.982785,0.988049
0.984617,0.990138,0.985733,0.987026,0.988602,0.984992,0.987300,0.990286,0.989105,0.991220,0.987995,0.990443,0.986514,0.987788,0.988368,0.989063,0.988386,0.988353
0.989364,0.991306,0.988408,0.988962,0.990136,0.988889,0.994195,0.990539,0.991977,0.992174,0.991934,0.993559,0.988149,0.985753,0.989764,0.991493,0.989479,0.990485
0.991649,0.991924,0.992421,0.991480,0.993424,0.989635,0.994195,0.990917,0.992670,0.993510,0.992684,0.992105,0.989375,0.991180,0.992711,0.993924,0.995081,0.993454
0.990858,0.992577,0.996433,0.991867,0.990684,0.990464,0.993832,0.989530,0.991878,0.993701,0.990809,0.995013,0.987740,0.989145,0.990695,0.992033,0.997267,0.992083
0.987078,0.990447,0.991975,0.987800,0.987396,0.988391,0.996009,0.987637,0.989699,0.993701,0.990246,0.992105,0.984471,0.985753,0.990385,0.989198,0.991119,0.989115
0.988397,0.990103,0.990192,0.988575,0.987286,0.986484,0.992017,0.985367,0.989501,0.990075,0.991371,0.992936,0.988557,0.991859,0.987903,0.991088,0.985654,0.988810
0.986463,0.990378,0.983504,0.984508,0.990684,0.985572,0.991473,0.985745,0.988114,0.992174,0.989495,0.990027,0.986923,0.987788,0.985887,0.989603,0.987020,0.988506
