Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.987292,0.981360,0.979773,0.987291,0.984136,0.984533,0.978456,0.983957,0.983633,0.983076,0.984947,0.979565,0.984333,0.984829,0.983811,0.983650,0.983946,0.991399,0.980827,0.986904,0.982084,0.984172
0.983981,0.978195,0.977342,0.983527,0.982809,0.982559,0.979336,0.981133,0.979284,0.980768,0.983075,0.979161,0.981713,0.982618,0.981859,0.979499,0.982153,0.984900,0.978515,0.980898,0.977991,0.979536
0.986431,0.978543,0.977729,0.987809,0.985862,0.982065,0.977910,0.980550,0.983002,0.979801,0.980897,0.976895,0.988368,0.985737,0.984049,0.978770,0.983775,0.990443,0.979566,0.993011,0.980282,0.981134
0.986673,0.981391,0.978963,0.989309,0.986194,0.984698,0.980611,0.983928,0.984629,0.981164,0.983228,0.980126,0.988053,0.987221,0.984668,0.982780,0.985483,0.994380,0.981206,0.995318,0.980883,0.982222
0.984169,0.978432,0.975685,0.983800,0.982875,0.979981,0.978304,0.982326,0.979151,0.979295,0.979560,0.977591,0.984019,0.981801,0.982002,0.979050,0.981854,0.985817,0.978641,0.986836,0.979343,0.979600
0.984438,0.977499,0.978117,0.985682,0.982809,0.979762,0.979275,0.980900,0.983301,0.980966,0.980744,0.978129,0.984910,0.984042,0.983049,0.980901,0.980957,0.989067,0.979272,0.989041,0.980582,0.981039
0.982661,0.977720,0.976249,0.982736,0.983008,0.980530,0.979427,0.981016,0.981441,0.979669,0.980209,0.977613,0.981085,0.980741,0.981430,0.979219,0.979719,0.988379,0.978599,0.984732,0.979981,0.984364
0.980750,0.973891,0.973324,0.977145,0.979955,0.976855,0.975361,0.978075,0.973972,0.976943,0.979369,0.974630,0.977365,0.976622,0.975955,0.975685,0.979420,0.978975,0.974100,0.972688,0.976563,0.981358
0.982527,0.975600,0.974241,0.979409,0.981017,0.977568,0.977667,0.979386,0.978885,0.977977,0.980897,0.976761,0.980770,0.979075,0.979050,0.977424,0.978609,0.984288,0.975656,0.978557,0.979155,0.981454
0.983765,0.976454,0.974558,0.981563,0.979822,0.978281,0.978244,0.978629,0.977756,0.977471,0.978910,0.978017,0.981189,0.979681,0.976812,0.976807,0.978993,0.985206,0.975193,0.977913,0.978592,0.979248
0.980615,0.972815,0.972866,0.976436,0.976238,0.976087,0.974876,0.976154,0.972046,0.975845,0.978261,0.974944,0.974483,0.976653,0.973383,0.974199,0.976389,0.975075,0.974689,0.968650,0.972732,0.976018
0.980830,0.974935,0.974593,0.981972,0.979888,0.977787,0.978122,0.978396,0.977956,0.977251,0.979751,0.976178,0.980823,0.978954,0.978193,0.977424,0.978310,0.984556,0.976118,0.980864,0.978329,0.979312
0.983092,0.976818,0.976108,0.980527,0.980685,0.980365,0.977364,0.978396,0.979516,0.977317,0.981890,0.976514,0.980561,0.980892,0.979240,0.978041,0.980701,0.985856,0.974605,0.981339,0.978742,0.982030
0.979942,0.974888,0.973818,0.977500,0.981813,0.979488,0.976878,0.977493,0.974005,0.976328,0.980133,0.975976,0.977941,0.978197,0.977574,0.977396,0.978609,0.981842,0.973848,0.974181,0.976751,0.979440
0.982742,0.978163,0.977377,0.983772,0.982875,0.980420,0.979397,0.979648,0.985027,0.978174,0.983113,0.976559,0.982028,0.982437,0.980716,0.977844,0.978993,0.987270,0.977254,0.984189,0.977953,0.978257
0.980911,0.980458,0.981641,0.982545,0.981415,0.981627,0.983736,0.979822,0.983035,0.979097,0.980935,0.977142,0.984228,0.980680,0.978478,0.978546,0.979676,0.985244,0.977674,0.988431,0.979831,0.981454
0.980400,0.981549,0.983226,0.982191,0.982544,0.980530,0.984950,0.978949,0.981541,0.977075,0.979063,0.979049,0.984124,0.978076,0.980145,0.978882,0.977371,0.980848,0.977422,0.982595,0.977840,0.980303
0.983119,0.982894,0.983826,0.986418,0.984867,0.983930,0.982431,0.980143,0.985259,0.978614,0.980515,0.980552,0.985172,0.982860,0.982287,0.980200,0.979079,0.989373,0.978683,0.991179,0.979418,0.979408
0.983280,0.979540,0.980830,0.984072,0.983473,0.981901,0.979579,0.978774,0.982471,0.979977,0.979980,0.979789,0.987163,0.982770,0.981811,0.980425,0.981000,0.987996,0.976034,0.985038,0.977390,0.976210
0.979726,0.974840,0.975509,0.978590,0.977101,0.977842,0.976120,0.974873,0.975034,0.975405,0.974861,0.974877,0.979984,0.977501,0.976193,0.973666,0.975108,0.979472,0.973764,0.975538,0.974423,0.975923
0.981503,0.976850,0.975615,0.982027,0.978627,0.977733,0.975118,0.977872,0.977225,0.976218,0.979178,0.975908,0.982657,0.978530,0.979478,0.976414,0.977243,0.983830,0.977254,0.980525,0.976638,0.979152
