Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.977880,0.966730,0.966624,0.973754,0.970828,0.969520,0.959531,0.974031,0.962616,0.974932,0.973642,0.969138,0.974291,0.973337,0.971477,0.973492,0.971966,0.975411,0.970916,0.976092,0.973589,0.971654
0.976552,0.966730,0.966199,0.971623,0.968616,0.969061,0.959588,0.974688,0.960585,0.973546,0.972247,0.967372,0.972997,0.972970,0.970586,0.971425,0.969914,0.975828,0.971001,0.976328,0.972559,0.970808
0.975734,0.966641,0.964357,0.971415,0.969584,0.969634,0.957921,0.971166,0.959689,0.972241,0.972614,0.967637,0.970491,0.971257,0.968965,0.969313,0.970000,0.973953,0.969045,0.974675,0.971044,0.970537
0.975785,0.967236,0.967333,0.972559,0.970828,0.970551,0.960221,0.972837,0.960705,0.972486,0.973421,0.967460,0.971218,0.972542,0.968803,0.970077,0.970171,0.976175,0.969300,0.976446,0.972559,0.972107
0.977114,0.966730,0.965065,0.970740,0.969446,0.970207,0.959473,0.971226,0.961182,0.971956,0.972614,0.967460,0.973725,0.970340,0.968236,0.970481,0.968291,0.972911,0.969980,0.973790,0.970742,0.970627
0.976092,0.966611,0.964711,0.971519,0.971658,0.971468,0.960163,0.972539,0.960466,0.972771,0.972687,0.969049,0.971865,0.972175,0.968641,0.971290,0.968205,0.973328,0.969640,0.974439,0.970620,0.970929
0.976858,0.966819,0.966341,0.971571,0.970966,0.967114,0.959129,0.973196,0.961003,0.971385,0.972981,0.968608,0.973644,0.972480,0.968965,0.971335,0.970171,0.974300,0.971086,0.977037,0.972498,0.970386
0.975888,0.965898,0.966553,0.973182,0.972349,0.969978,0.957232,0.972539,0.959988,0.972160,0.972687,0.968255,0.971946,0.972603,0.967993,0.970841,0.970086,0.975342,0.969215,0.976033,0.970863,0.969541
0.974100,0.964708,0.964144,0.969284,0.969584,0.968259,0.955220,0.971703,0.957360,0.970856,0.970044,0.967151,0.969278,0.969300,0.966048,0.968729,0.967009,0.974022,0.968025,0.970602,0.970257,0.970386
0.975479,0.964233,0.964286,0.969700,0.969860,0.967228,0.955737,0.970569,0.958196,0.972038,0.972687,0.966754,0.969278,0.968934,0.965238,0.969627,0.967094,0.971105,0.968110,0.970130,0.969651,0.969269
0.974815,0.965779,0.963506,0.970272,0.967925,0.968489,0.957519,0.971405,0.959510,0.970896,0.971733,0.968034,0.969682,0.970829,0.967021,0.970661,0.969231,0.972980,0.966919,0.973318,0.968924,0.970024
