Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.988423,0.979956,0.978314,0.981789,0.982310,0.983792,0.979789,0.980287,0.981889,0.981212,0.984219,0.978302,0.984145,0.982657,0.978477,0.981656,0.982503,0.985844,0.980998,0.982970,0.982140,0.984001
0.986408,0.976478,0.975336,0.978734,0.978884,0.980514,0.977247,0.978865,0.978121,0.978552,0.981485,0.976212,0.982073,0.979387,0.975769,0.979065,0.977471,0.982447,0.976855,0.974100,0.980748,0.982209
0.986096,0.976823,0.974382,0.979723,0.979723,0.980696,0.977706,0.977734,0.977352,0.977987,0.980781,0.976188,0.982902,0.980444,0.975817,0.978624,0.980103,0.982164,0.976990,0.976131,0.979555,0.982275
0.987202,0.979431,0.977970,0.984395,0.981681,0.982578,0.979207,0.980093,0.982109,0.981141,0.982024,0.977879,0.984404,0.983120,0.977994,0.980920,0.982965,0.987705,0.979107,0.983004,0.981623,0.982640
0.986521,0.977987,0.976634,0.981819,0.981471,0.982396,0.977155,0.979931,0.979548,0.980364,0.982314,0.977433,0.982591,0.980973,0.977510,0.978359,0.979733,0.985682,0.978296,0.976943,0.981066,0.982076
0.985698,0.975429,0.972969,0.978944,0.977835,0.979967,0.976941,0.977766,0.975633,0.976786,0.979000,0.974028,0.979896,0.977174,0.973979,0.977211,0.975994,0.980627,0.976450,0.972745,0.978361,0.980184
0.984677,0.976774,0.975031,0.981040,0.981331,0.982820,0.978380,0.978607,0.978121,0.977374,0.979580,0.976118,0.980829,0.979651,0.975866,0.979536,0.980749,0.984712,0.977215,0.976097,0.980748,0.982076
0.986266,0.979611,0.977970,0.983257,0.984058,0.984581,0.981504,0.980804,0.981633,0.981118,0.981320,0.977715,0.983523,0.982822,0.979687,0.981480,0.984996,0.989727,0.979332,0.983715,0.982379,0.983669
0.983854,0.978545,0.977856,0.981430,0.982170,0.983367,0.979819,0.979027,0.979145,0.978575,0.982355,0.976306,0.979845,0.981468,0.976930,0.980302,0.981718,0.985116,0.977711,0.980397,0.979037,0.981943
0.981612,0.976741,0.977169,0.978465,0.978744,0.981181,0.980371,0.977023,0.975157,0.975868,0.976722,0.974521,0.979223,0.977273,0.974850,0.975856,0.977240,0.978402,0.976450,0.975183,0.977526,0.979354
0.982095,0.978922,0.979803,0.981100,0.979024,0.980210,0.980769,0.977992,0.979877,0.977257,0.979497,0.976587,0.981554,0.980048,0.976011,0.977770,0.980518,0.980506,0.977350,0.981988,0.978640,0.980151
0.981499,0.982104,0.984614,0.983646,0.981052,0.983427,0.982820,0.980772,0.983792,0.978410,0.980781,0.978842,0.983834,0.980477,0.977704,0.978712,0.983334,0.983377,0.979287,0.987101,0.980668,0.981744
0.982719,0.979300,0.981254,0.980112,0.980213,0.982760,0.980554,0.979156,0.979072,0.977845,0.978586,0.977644,0.982798,0.978792,0.976881,0.976592,0.979087,0.979697,0.978566,0.976977,0.979952,0.979653
0.983088,0.976659,0.978734,0.978375,0.977416,0.980999,0.977676,0.976764,0.977060,0.976880,0.977592,0.976259,0.981088,0.977504,0.973931,0.975856,0.977702,0.976704,0.976855,0.973050,0.978123,0.978989
0.984280,0.977446,0.978123,0.980262,0.980422,0.980878,0.976267,0.976635,0.977645,0.975938,0.978669,0.976493,0.980570,0.979651,0.974415,0.977269,0.978533,0.980263,0.975639,0.978941,0.977884,0.980748
0.985017,0.976429,0.977818,0.980651,0.980003,0.979724,0.975195,0.977346,0.978231,0.976645,0.977675,0.974756,0.982435,0.978858,0.975237,0.977711,0.980149,0.982164,0.976180,0.980735,0.978520,0.981810
0.983712,0.974182,0.975412,0.976847,0.975038,0.977053,0.973970,0.974405,0.973694,0.974596,0.976308,0.973159,0.978756,0.975918,0.971948,0.974001,0.974609,0.976340,0.973613,0.973084,0.976293,0.978657
