Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
12.8120,0.721000,0.962034,0.975887,0.983391,1.00225,1.00850,0.984437,0.982211
12.8120,0.718000,0.961247,0.973324,0.980977,0.996466,1.00185,0.980923,0.978641
12.8120,0.721000,0.958651,0.969813,0.979863,0.990929,0.995515,0.977332,0.974421
12.8130,0.721000,0.958454,0.969611,0.980287,0.988370,0.991969,0.975679,0.974810
12.8130,0.723000,0.957038,0.967957,0.977846,0.985142,0.989389,0.974560,0.972927
12.8110,3.76400,0.956172,0.965616,0.977050,0.980885,0.985139,0.971944,0.970850
12.8090,7.81200,0.955110,0.965757,0.976228,0.979466,0.984231,0.972270,0.970071
12.8100,10.9020,0.954992,0.964970,0.975671,0.977602,0.981593,0.971489,0.969227
12.8100,13.4430,0.954441,0.964345,0.975379,0.976517,0.979424,0.970422,0.967604
12.8100,8.71600,0.956585,0.968017,0.977342,0.979633,0.985227,0.973571,0.970395
12.8110,1.28700,0.961365,0.983010,0.978138,1.01617,1.02497,1.03387,0.993832
12.8100,0.738000,0.974407,1.03650,0.989361,1.10492,1.11531,1.16506,1.09381
12.8100,0.689000,1.01001,1.11948,1.00934,1.17807,1.18671,1.22262,1.17380
12.8110,0.678000,1.04399,1.17063,1.02075,1.21747,1.21423,1.19751,1.19496
12.8110,0.664000,1.06008,1.19214,1.02704,1.22581,1.20682,1.14917,1.17724
12.8100,0.658000,1.05837,1.18253,1.02751,1.20773,1.18290,1.13515,1.14672
12.8090,0.665000,1.04580,1.15826,1.02210,1.17829,1.15596,1.13611,1.12608
12.8100,0.673000,1.02555,1.12718,1.01247,1.14182,1.12481,1.12060,1.10524
12.8090,0.668000,1.00612,1.09288,1.00016,1.10222,1.09508,1.07783,1.07706
12.8090,0.665000,0.992722,1.05967,0.991749,1.06942,1.06967,1.03909,1.04687
12.8100,0.666000,0.983614,1.03590,0.986204,1.04621,1.05097,1.01673,1.02318
12.8080,0.668000,0.976611,1.01636,0.982065,1.02768,1.03347,1.00200,1.00948
12.8090,0.668000,0.971024,1.00527,0.980154,1.01669,1.02222,0.993155,0.999156
12.8080,0.667000,0.967404,0.995682,0.977952,1.00715,1.01211,0.987976,0.991365
12.8080,0.666000,0.964788,0.989265,0.973760,0.998080,1.00255,0.982797,0.986237
12.8070,0.668000,0.963706,0.983111,0.972407,0.993823,0.995281,0.980233,0.981173
12.8070,0.668000,0.962152,0.979196,0.970683,0.989817,0.990855,0.977878,0.978381
12.8080,0.669000,0.959870,0.976835,0.970603,0.986506,0.987484,0.974599,0.977147
12.8080,0.667000,0.959280,0.974817,0.967711,0.982583,0.982443,0.972829,0.974356
12.8060,0.670000,0.958749,0.974434,0.967605,0.979967,0.979512,0.972296,0.972213
12.8070,3.68400,0.955877,0.972457,0.966411,0.977658,0.976346,0.969862,0.969876
12.8060,7.74100,0.954579,0.970822,0.965456,0.975849,0.975232,0.968600,0.969616
12.8050,10.8360,0.954874,0.969995,0.965535,0.975070,0.975027,0.967572,0.968253
12.8040,13.3880,0.955838,0.969248,0.965562,0.972594,0.973737,0.968092,0.966825
12.8060,8.59400,0.957175,0.969450,0.964740,0.974430,0.974206,0.967689,0.967279
12.8060,1.26200,0.959162,0.974394,0.965960,0.992348,0.998476,0.982355,0.973057
12.8050,0.727000,0.969352,1.01215,0.973548,1.05484,1.06821,1.08441,1.03188
12.8050,0.684000,0.992269,1.07668,0.988061,1.12470,1.14019,1.17578,1.12407
12.8060,0.683000,1.02416,1.13743,1.00106,1.17390,1.18117,1.20818,1.17276
12.8080,0.673000,1.04058,1.16478,1.00634,1.19454,1.19225,1.18605,1.18107
12.8060,0.672000,1.04143,1.16958,1.00621,1.19028,1.17792,1.15137,1.16867
12.8050,0.669000,1.03086,1.15354,1.00095,1.16293,1.14702,1.13651,1.14705
12.8060,0.674000,1.01330,1.12012,0.993128,1.12039,1.11018,1.12226,1.11517
12.8000,0.667000,0.996026,1.08092,0.984134,1.08044,1.07665,1.08330,1.07648
12.7990,0.666000,0.981804,1.04704,0.976228,1.05017,1.05085,1.04327,1.04304
12.8000,0.671000,0.973994,1.02199,0.973203,1.02927,1.03122,1.01753,1.01623
12.8000,0.670000,0.967404,1.00406,0.968825,1.01297,1.01542,1.00202,1.00422
12.8000,0.671000,0.963490,0.993866,0.965244,1.00198,1.00296,0.993103,0.995585
12.8000,0.672000,0.960323,0.985693,0.964793,0.993461,0.993698,0.986467,0.985652
12.8000,0.671000,0.958100,0.980326,0.962935,0.988676,0.988246,0.980663,0.979614
12.8000,0.674000,0.956074,0.975019,0.960892,0.982471,0.982443,0.975705,0.975070
12.8000,0.673000,0.955169,0.973001,0.959141,0.980023,0.977987,0.974039,0.973901
12.8000,0.673000,0.954323,0.970762,0.960017,0.976934,0.975994,0.971307,0.971564
12.7990,0.670000,0.952828,0.968401,0.957735,0.974096,0.972008,0.968990,0.969551
12.7980,0.671000,0.951254,0.965152,0.957178,0.971453,0.969429,0.967260,0.966695
12.7980,3.70500,0.951195,0.965293,0.957390,0.970535,0.968227,0.966596,0.965851
12.7970,7.73000,0.950251,0.963820,0.955719,0.967669,0.965355,0.965932,0.965007
12.7960,10.8080,0.948972,0.962609,0.954870,0.965638,0.964153,0.964826,0.962475
12.7970,13.3240,0.949798,0.961984,0.955825,0.964776,0.965413,0.964150,0.961955
12.7980,9.82800,0.951746,0.963881,0.955586,0.967753,0.966410,0.964800,0.963579
12.7980,1.24600,0.953379,0.965697,0.956356,0.980273,0.984436,0.973857,0.966500
12.7990,0.729000,0.960696,0.994310,0.961397,1.02677,1.03963,1.05886,1.00721
12.7990,0.686000,0.980132,1.04909,0.973734,1.09310,1.10769,1.15114,1.09485
12.7990,0.676000,1.00765,1.10963,0.988008,1.14204,1.15180,1.18915,1.14770
12.7980,0.675000,1.02504,1.14226,0.992385,1.16636,1.16783,1.18117,1.16646
12.7980,0.673000,1.02793,1.15027,0.992890,1.16658,1.15963,1.15247,1.16250
12.7990,0.673000,1.01599,1.13515,0.987318,1.14143,1.13073,1.13481,1.14075
12.7990,0.675000,0.999862,1.10356,0.978642,1.10245,1.09306,1.11632,1.10913
12.8030,0.681000,0.984538,1.06550,0.971558,1.06210,1.06097,1.07648,1.06895
12.8050,0.675000,0.971417,1.03273,0.964527,1.03406,1.03415,1.03598,1.03486
12.8040,0.672000,0.962605,1.00841,0.961397,1.01377,1.01583,1.01115,1.01305
12.8060,0.680000,0.959005,0.993381,0.959354,1.00147,1.00410,0.997736,0.999675
12.8050,0.672000,0.955719,0.983534,0.958080,0.991709,0.994226,0.988991,0.989028
12.8040,0.673000,0.953654,0.977198,0.955294,0.984335,0.984113,0.981678,0.984289
12.8050,0.670000,0.952041,0.972457,0.954870,0.978548,0.978837,0.976590,0.978381
12.8040,0.673000,0.950448,0.967896,0.952270,0.975293,0.974734,0.972842,0.974810
12.8040,0.676000,0.948343,0.965132,0.951341,0.971453,0.969458,0.970201,0.970006
12.8040,0.675000,0.947438,0.962630,0.951766,0.969255,0.967377,0.967559,0.968837
12.8030,0.675000,0.946258,0.962327,0.950810,0.967836,0.965736,0.966661,0.967019
12.8040,0.677000,0.944113,0.959421,0.949696,0.963579,0.961163,0.963824,0.962020
3.20900,3.90700,0.944684,0.959078,0.950068,0.963412,0.961485,0.962926,0.961436
3.20700,7.86100,0.943661,0.959159,0.950200,0.962327,0.960049,0.962054,0.961306
3.20700,10.9170,0.943444,0.958211,0.949139,0.960296,0.960548,0.961013,0.961047
3.20700,13.4140,0.943582,0.956980,0.948555,0.959517,0.958496,0.961170,0.958969
3.20900,13.5010,0.945726,0.959764,0.950306,0.960964,0.961544,0.962094,0.958709
3.20900,1.41400,0.947438,0.958796,0.950094,0.966946,0.968930,0.961976,0.956957
3.21000,0.810000,0.950034,0.961479,0.950227,0.980551,0.985051,0.972985,0.963773
3.21000,0.766000,0.950231,0.964748,0.949882,0.986311,0.990181,0.982329,0.969162
3.21100,0.758000,0.949464,0.963074,0.949882,0.983083,0.987953,0.980246,0.968318
3.21100,0.754000,0.946769,0.960289,0.950280,0.978326,0.980977,0.973844,0.966435
3.21000,0.750000,0.946021,0.959139,0.952217,0.972844,0.974939,0.969016,0.963968
3.21000,0.747000,0.946297,0.957222,0.952190,0.969199,0.971920,0.966075,0.961241
3.21000,0.747000,0.944900,0.955043,0.951686,0.966584,0.966996,0.963447,0.961306
3.21100,0.750000,0.943917,0.953913,0.949457,0.963051,0.963977,0.961235,0.958580
3.21100,0.753000,0.942028,0.952803,0.948210,0.961186,0.962687,0.959920,0.957930
3.21100,0.745000,0.940474,0.952561,0.948078,0.958321,0.960313,0.959504,0.955139
3.21100,0.748000,0.940081,0.950825,0.947016,0.956262,0.958261,0.958541,0.955983
3.21100,0.748000,0.938723,0.949675,0.946433,0.955065,0.957587,0.958931,0.954879
3.21100,0.752000,0.937917,0.948545,0.947308,0.953312,0.954920,0.956355,0.954684
3.21100,0.745000,0.937641,0.948364,0.946990,0.951838,0.954128,0.955106,0.952217
3.21100,0.742000,0.938035,0.947496,0.947653,0.950780,0.953923,0.955639,0.954360
3.21100,0.741000,0.936973,0.945841,0.948821,0.949612,0.952604,0.955184,0.953970
3.21300,0.744000,0.937504,0.945639,0.946220,0.949083,0.952663,0.953401,0.953191
3.21100,0.746000,0.937071,0.947213,0.946061,0.949862,0.951989,0.953180,0.952736
3.21100,0.743000,0.936087,0.948061,0.946671,0.950001,0.951256,0.953817,0.951698
3.21000,3.96600,0.935733,0.947839,0.945796,0.948415,0.950787,0.953128,0.951438
3.20900,7.88800,0.935281,0.946729,0.944655,0.947581,0.949878,0.951813,0.949166
3.20900,10.9370,0.936225,0.947072,0.944416,0.948248,0.950582,0.952126,0.950075
3.20900,13.4300,0.935360,0.946810,0.943753,0.947803,0.949615,0.952451,0.950984
3.21000,12.1990,0.936835,0.947072,0.945212,0.947358,0.949790,0.952555,0.950529
3.21100,1.39000,0.936992,0.947435,0.945876,0.947358,0.950259,0.951852,0.949945
3.21100,0.750000,0.937386,0.945781,0.944178,0.946607,0.949585,0.951046,0.951698
3.21100,0.703000,0.936717,0.945902,0.942427,0.946829,0.949321,0.950564,0.952607
3.21100,0.696000,0.935655,0.945680,0.940728,0.945633,0.947504,0.948053,0.950854
3.21200,0.695000,0.933845,0.944308,0.939535,0.945271,0.946625,0.946999,0.950724
3.21100,0.693000,0.932468,0.943723,0.941816,0.944604,0.945833,0.947662,0.948322
3.21100,0.689000,0.932586,0.942108,0.940702,0.944659,0.945042,0.947441,0.949555
3.21100,0.690000,0.932291,0.943198,0.941551,0.943991,0.945599,0.948781,0.948192
3.21000,0.687000,0.933314,0.942936,0.942055,0.943546,0.945394,0.948807,0.949101
3.21200,0.690000,0.932960,0.941846,0.940410,0.943240,0.944368,0.948716,0.948581
3.21100,0.689000,0.932940,0.942492,0.941471,0.942600,0.944837,0.949419,0.947867
3.21200,0.692000,0.932665,0.941563,0.939455,0.942545,0.945130,0.948508,0.948062
3.21200,0.690000,0.931819,0.940776,0.939137,0.942211,0.944456,0.946335,0.946374
3.21200,0.691000,0.931996,0.940393,0.937412,0.941682,0.943430,0.944279,0.945725
3.21200,0.699000,0.931760,0.939485,0.936696,0.940931,0.942990,0.943420,0.945335
3.21100,0.694000,0.930619,0.939747,0.936430,0.940764,0.941642,0.942483,0.945206
3.21100,0.694000,0.929930,0.938759,0.936961,0.939818,0.940675,0.941429,0.943258
3.21200,0.687000,0.930756,0.939303,0.936696,0.939540,0.941906,0.942223,0.945335
3.21300,0.683000,0.931425,0.939001,0.937279,0.939901,0.942023,0.941676,0.943518
3.21300,0.689000,0.930186,0.938819,0.936775,0.939484,0.941056,0.941481,0.943063
