Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
12.8120,0.691000,0.982324,0.985906,0.993449,0.999036,1.00320,0.996112,0.994495
12.8120,0.689000,0.979895,0.985487,0.992828,0.995998,1.00107,0.994238,0.992009
12.8110,3.38300,0.979946,0.984124,0.991656,0.994812,0.997789,0.992572,0.992009
12.8100,7.26500,0.978396,0.984229,0.991173,0.992663,0.995806,0.991530,0.990943
12.8090,9.95000,0.978706,0.982553,0.988552,0.989624,0.993061,0.989378,0.990055
12.8090,12.2160,0.978551,0.980404,0.987794,0.989031,0.993366,0.988198,0.988457
12.8100,7.97600,0.979843,0.982081,0.987794,0.993033,0.997179,0.991495,0.988812
12.8110,1.08500,0.984805,0.992350,0.994621,1.02646,1.03050,1.05137,1.01616
12.8110,0.713000,1.00357,1.03301,1.00910,1.10198,1.10774,1.16568,1.10567
12.8110,0.679000,1.03308,1.09457,1.02607,1.16031,1.16805,1.20293,1.17617
12.8090,0.672000,1.06094,1.13670,1.03869,1.19010,1.19428,1.17922,1.20316
12.8100,0.673000,1.07350,1.15587,1.04248,1.19240,1.18971,1.15072,1.20032
12.8100,0.671000,1.07872,1.16137,1.04303,1.18002,1.17568,1.14600,1.18700
12.8100,0.672000,1.07153,1.14754,1.03931,1.15682,1.15524,1.14392,1.16516
12.8100,0.671000,1.05246,1.11925,1.02993,1.12295,1.12276,1.12326,1.13674
12.8090,0.673000,1.03339,1.08446,1.02193,1.09064,1.09249,1.08394,1.10140
12.8100,0.667000,1.01809,1.05459,1.01124,1.06574,1.06923,1.05356,1.07157
12.8090,0.669000,1.00656,1.03432,1.00379,1.04506,1.04994,1.03485,1.04884
12.8100,0.668000,0.999897,1.02195,0.999931,1.03365,1.03690,1.02284,1.03765
12.8090,0.667000,0.995762,1.01436,0.996276,1.02542,1.02768,1.01552,1.02468
12.8090,0.669000,0.992919,1.00739,0.994138,1.01808,1.01784,1.00986,1.01776
12.8080,0.671000,0.989508,1.00435,0.991587,1.01075,1.01365,1.00437,1.01208
12.8080,0.669000,0.986872,0.999790,0.991863,1.00645,1.00587,1.00156,1.00639
12.8080,0.668000,0.985528,0.996594,0.989656,1.00326,1.00404,0.999410,1.00551
12.8080,0.670000,0.985838,0.994918,0.989380,0.999926,1.00152,0.996459,1.00000
12.8090,0.670000,0.983306,0.993032,0.987587,0.997036,0.998322,0.994897,0.994850
12.8090,0.671000,0.983047,0.990202,0.987449,0.994960,0.994281,0.991565,0.993429
12.8070,3.43100,0.981600,0.988892,0.984829,0.992218,0.992070,0.990940,0.993784
12.8070,7.29500,0.981910,0.987006,0.985104,0.987771,0.992756,0.989482,0.991121
12.8050,9.97700,0.979998,0.985749,0.985449,0.987771,0.991460,0.989135,0.990233
12.8050,12.2820,0.981187,0.985591,0.983105,0.987549,0.988563,0.988267,0.989167
12.8060,7.49900,0.981910,0.985749,0.982760,0.987697,0.990545,0.988371,0.986681
12.8070,1.08200,0.986097,0.988368,0.985518,1.00482,1.00801,1.00118,0.995205
12.8070,0.720000,0.999225,1.01671,0.998069,1.06285,1.07167,1.08831,1.04830
12.8070,0.692000,1.02088,1.07089,1.01310,1.12132,1.12840,1.16197,1.12893
12.8070,0.683000,1.04393,1.11170,1.02427,1.15460,1.15966,1.17794,1.16906
12.8050,0.679000,1.05613,1.12863,1.02738,1.16438,1.16561,1.16058,1.17368
12.8070,0.679000,1.05530,1.12774,1.02558,1.15571,1.15112,1.13892,1.16107
12.8070,0.681000,1.04714,1.11532,1.02000,1.13103,1.12955,1.12812,1.14154
12.8060,0.681000,1.03427,1.09164,1.01407,1.09953,1.10027,1.11268,1.11845
12.8010,0.679000,1.02021,1.06172,1.00517,1.07085,1.07244,1.07647,1.08134
12.8010,0.680000,1.00636,1.03689,0.998000,1.04854,1.05063,1.04478,1.05292
12.8020,0.679000,0.996847,1.01870,0.990207,1.02727,1.03042,1.02524,1.03481
12.8010,0.680000,0.989611,1.00744,0.986001,1.01571,1.01777,1.01451,1.02255
12.8020,0.680000,0.985477,1.00094,0.983587,1.00800,1.00999,1.00656,1.01438
12.8010,0.680000,0.982582,0.997013,0.982070,1.00252,1.00442,1.00115,1.00799
12.8010,0.680000,0.982686,0.991879,0.981312,0.998221,0.998856,0.997362,1.00142
12.8000,0.683000,0.980050,0.990517,0.981794,0.995627,0.993671,0.993752,0.997336
12.8010,0.681000,0.977827,0.988526,0.980139,0.990884,0.991155,0.991218,0.994317
12.8010,0.683000,0.977465,0.985434,0.977933,0.988142,0.987495,0.988198,0.993784
12.8010,0.680000,0.976690,0.983862,0.976691,0.987994,0.987266,0.987469,0.989167
12.8010,0.683000,0.975450,0.982867,0.976415,0.983992,0.982387,0.985282,0.987924
12.8010,3.55900,0.974778,0.981400,0.975105,0.982435,0.981853,0.983407,0.987391
12.7990,7.33100,0.974519,0.980404,0.973864,0.982139,0.979642,0.983060,0.984550
12.7980,10.0390,0.975501,0.978885,0.973174,0.980360,0.979184,0.981880,0.983839
12.7980,12.3120,0.974829,0.976318,0.972829,0.978211,0.977659,0.981533,0.980998
12.7990,8.46400,0.975295,0.977418,0.974347,0.978211,0.980175,0.982401,0.981708
12.7990,1.07400,0.978086,0.982553,0.976277,0.992070,0.993976,0.989517,0.986858
12.8000,0.711000,0.989043,1.00168,0.984691,1.03802,1.04438,1.06151,1.02291
12.8000,0.677000,1.00760,1.04705,1.00028,1.09435,1.10187,1.13555,1.09643
12.7990,0.670000,1.03106,1.09017,1.01110,1.12933,1.13595,1.16037,1.14029
12.7980,0.670000,1.04336,1.11076,1.01572,1.14571,1.14403,1.14916,1.14971
12.8000,0.670000,1.04316,1.11040,1.01359,1.13585,1.13351,1.12705,1.14314
12.8000,0.670000,1.03504,1.09981,1.00862,1.11273,1.11026,1.11604,1.12591
12.7980,0.672000,1.02212,1.07843,1.00365,1.08456,1.08418,1.09834,1.09998
12.8050,0.671000,1.00951,1.05067,0.996345,1.05759,1.06024,1.06450,1.06837
12.8040,0.672000,0.997054,1.02625,0.989449,1.03617,1.03622,1.03405,1.04138
12.8050,0.670000,0.988216,1.00943,0.982967,1.01801,1.02005,1.01673,1.02024
12.8040,0.672000,0.982376,0.999266,0.978898,1.00741,1.00709,1.00562,1.00888
12.8060,0.671000,0.978706,0.991250,0.976829,1.00082,1.00069,0.998577,0.999822
12.8040,0.672000,0.977310,0.989731,0.976209,0.994738,0.993595,0.995557,0.995383
12.8050,0.671000,0.976277,0.985591,0.974622,0.991403,0.990393,0.990107,0.993784
