Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.978419,0.983638,0.983996,0.982891,0.985138,0.984605,0.982901,0.982706,0.984990,0.982439,0.982270,0.982021,0.982027,0.986364,0.982441,0.983296,0.976038,0.981532,0.984980
0.977273,0.983394,0.982362,0.981994,0.984345,0.982178,0.982401,0.982012,0.983362,0.982327,0.981909,0.980609,0.982051,0.983402,0.983938,0.981506,0.978700,0.982159,0.985281
0.977871,0.983297,0.981112,0.981264,0.983684,0.981599,0.981992,0.981128,0.982512,0.980938,0.981645,0.978679,0.981225,0.982994,0.981201,0.984012,0.977447,0.981950,0.985731
0.978768,0.984758,0.982554,0.982218,0.984147,0.983193,0.983038,0.983401,0.982583,0.982883,0.981185,0.981692,0.982711,0.983300,0.982957,0.982580,0.980736,0.982089,0.987384
0.981958,0.987339,0.985149,0.984854,0.986327,0.984388,0.982992,0.986178,0.984565,0.986607,0.985593,0.985410,0.989174,0.984628,0.987708,0.986756,0.983242,0.985086,0.989036
0.984699,0.986413,0.985341,0.987042,0.984015,0.987032,0.985493,0.988576,0.986264,0.986329,0.985527,0.987151,0.990212,0.984730,0.988277,0.988904,0.989976,0.985644,0.986182
0.989533,0.987436,0.985774,0.988220,0.985336,0.985185,0.987403,0.990470,0.990300,0.987551,0.985593,0.986822,0.988867,0.983453,0.988638,0.991529,0.998904,0.987386,0.986332
0.987091,0.986852,0.985486,0.988837,0.987384,0.985475,0.988404,0.984600,0.986477,0.987274,0.983783,0.985551,0.989103,0.984117,0.989671,0.988188,0.994048,0.986619,0.989637
0.982955,0.987728,0.988514,0.988669,0.989497,0.987684,0.986767,0.986115,0.987256,0.986329,0.984277,0.988281,0.989999,0.985956,0.989051,0.988904,0.982615,0.987247,0.990162
0.982805,0.984953,0.985005,0.985696,0.985732,0.986127,0.984402,0.982959,0.984353,0.984995,0.984014,0.985174,0.987641,0.984934,0.985591,0.984489,0.982929,0.984807,0.988435
0.981908,0.984806,0.982362,0.981938,0.983751,0.981708,0.981764,0.981318,0.981946,0.981383,0.980428,0.980091,0.982287,0.982279,0.984042,0.984370,0.981363,0.982995,0.983779
0.977323,0.979742,0.979478,0.977786,0.981769,0.980259,0.979582,0.978225,0.980671,0.978715,0.978553,0.977220,0.978749,0.980083,0.980995,0.980671,0.981832,0.979371,0.982277
0.979516,0.981154,0.979911,0.980255,0.981835,0.981418,0.980446,0.978856,0.979680,0.977826,0.980198,0.978209,0.979079,0.979470,0.980633,0.978881,0.975724,0.980765,0.982803
0.976974,0.981300,0.981256,0.982106,0.982033,0.982359,0.979536,0.978351,0.980600,0.980049,0.980691,0.978726,0.980871,0.981819,0.981614,0.981387,0.975568,0.981392,0.983779
0.977422,0.981300,0.980487,0.983116,0.983024,0.982215,0.980719,0.980308,0.979963,0.980327,0.980757,0.979903,0.982027,0.982790,0.983164,0.982938,0.974941,0.978884,0.984605
0.975528,0.981787,0.978997,0.979357,0.981703,0.978049,0.979218,0.977594,0.980600,0.977937,0.977895,0.976703,0.979220,0.980849,0.980013,0.980671,0.977917,0.979859,0.981826
0.974232,0.976333,0.976546,0.977113,0.977079,0.977977,0.977763,0.974060,0.976777,0.976548,0.978290,0.974443,0.975423,0.977682,0.977380,0.979597,0.974941,0.979859,0.981526
0.973385,0.980375,0.977796,0.977001,0.980910,0.978230,0.978081,0.974880,0.978547,0.976603,0.976646,0.974867,0.976862,0.977631,0.978619,0.979358,0.973218,0.978814,0.979874
0.973086,0.977891,0.978709,0.979245,0.979193,0.980766,0.978672,0.977783,0.978335,0.977548,0.978817,0.977550,0.980093,0.979827,0.979703,0.978523,0.971965,0.979441,0.981151
0.974930,0.980813,0.979815,0.979525,0.980118,0.979281,0.979536,0.977594,0.978760,0.979438,0.978685,0.977832,0.979857,0.981768,0.981563,0.979835,0.974785,0.980068,0.981826
0.976924,0.976723,0.974432,0.978740,0.977674,0.975369,0.979127,0.976016,0.981167,0.977381,0.976514,0.974020,0.976555,0.978397,0.978516,0.979000,0.980110,0.979999,0.979198
0.975628,0.976918,0.974768,0.976048,0.978730,0.973702,0.977353,0.976206,0.978476,0.976881,0.976317,0.973361,0.975140,0.976916,0.977431,0.980551,0.978387,0.976862,0.978822
0.971591,0.977064,0.976642,0.977674,0.976947,0.977651,0.977308,0.976016,0.978264,0.975547,0.975823,0.975714,0.977097,0.978193,0.976811,0.978523,0.973218,0.976932,0.980024
0.971043,0.976820,0.977700,0.978235,0.980910,0.979100,0.978627,0.978162,0.977414,0.977770,0.976119,0.976985,0.978961,0.979112,0.980426,0.975898,0.972592,0.976305,0.980925
0.973335,0.977940,0.975825,0.978291,0.980712,0.978846,0.977990,0.977973,0.978406,0.978215,0.978192,0.976891,0.979716,0.980849,0.978774,0.979597,0.975881,0.980765,0.982202
0.973335,0.977258,0.975681,0.976833,0.979787,0.976854,0.977353,0.977026,0.978406,0.976381,0.975429,0.975761,0.977239,0.976610,0.980013,0.978881,0.974785,0.976653,0.981075
0.971940,0.979255,0.975777,0.979245,0.977806,0.977578,0.977308,0.976332,0.978618,0.976048,0.976218,0.976514,0.978041,0.978040,0.979084,0.980909,0.974785,0.978396,0.980475
0.971192,0.978037,0.978084,0.978347,0.978466,0.978266,0.977217,0.975890,0.976352,0.976381,0.977303,0.975950,0.978583,0.976763,0.978154,0.975301,0.970869,0.976723,0.981826
