Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.982760,0.984931,0.983662,0.982343,0.983265,0.983131,0.985305,0.983534,0.984982,0.984650,0.983316,0.982325,0.982871,0.985315,0.985471,0.986238,0.983582,0.984621,0.984888
0.981516,0.983879,0.982225,0.981103,0.982431,0.982562,0.984770,0.983477,0.982819,0.982668,0.981463,0.979697,0.981235,0.984590,0.984820,0.982744,0.983986,0.983889,0.982631
0.980361,0.984174,0.983837,0.982095,0.982372,0.983399,0.985223,0.981819,0.982564,0.983430,0.981645,0.979358,0.981843,0.984182,0.983097,0.982850,0.979680,0.983401,0.983657
0.979916,0.984889,0.982137,0.984376,0.984754,0.983533,0.984523,0.981991,0.983646,0.983227,0.982952,0.980927,0.981948,0.984635,0.982445,0.983803,0.979949,0.983889,0.984409
0.978672,0.983963,0.982137,0.981847,0.982252,0.982228,0.983988,0.981876,0.983519,0.981092,0.981493,0.981011,0.981634,0.983094,0.983097,0.981791,0.977527,0.983339,0.981879
0.976673,0.982574,0.980700,0.979863,0.980942,0.980253,0.983000,0.979875,0.980719,0.980685,0.980460,0.979189,0.979202,0.982187,0.981932,0.981897,0.978603,0.981509,0.980990
0.975784,0.981817,0.979959,0.979367,0.980108,0.980387,0.981024,0.979990,0.979955,0.982363,0.980946,0.977451,0.978007,0.980465,0.981187,0.979674,0.975912,0.981020,0.979828
0.976095,0.983248,0.982007,0.979962,0.982491,0.982562,0.982300,0.979647,0.982246,0.981244,0.981524,0.979316,0.980879,0.982233,0.981327,0.980415,0.975239,0.981875,0.982631
0.975829,0.982153,0.981440,0.979615,0.982610,0.982094,0.980859,0.979361,0.980719,0.982210,0.981402,0.978807,0.980082,0.982550,0.981374,0.982215,0.976585,0.980715,0.981947
0.975162,0.981396,0.979611,0.979317,0.980227,0.979115,0.981806,0.979875,0.980465,0.981702,0.979731,0.976518,0.977210,0.981236,0.980396,0.980627,0.974970,0.981997,0.979349
0.972896,0.978786,0.976909,0.977086,0.977726,0.976605,0.980324,0.975931,0.979192,0.978296,0.978394,0.974569,0.975323,0.978833,0.978626,0.978827,0.976046,0.979556,0.977161
0.975473,0.981901,0.978260,0.978970,0.980168,0.978747,0.979913,0.978332,0.979637,0.979618,0.979791,0.977493,0.977797,0.980510,0.980396,0.979251,0.976046,0.981570,0.979212
0.975295,0.983374,0.980525,0.979962,0.981478,0.979383,0.982629,0.980218,0.981546,0.981803,0.981129,0.978722,0.979139,0.982550,0.980489,0.979462,0.974701,0.981631,0.979896
0.975029,0.981817,0.979131,0.979466,0.979751,0.977341,0.980942,0.979361,0.980910,0.981397,0.979700,0.977324,0.977503,0.982459,0.980768,0.981791,0.975508,0.979800,0.980170
0.974185,0.978618,0.976735,0.977284,0.978262,0.976571,0.979830,0.977188,0.979446,0.978703,0.978150,0.975586,0.975763,0.979468,0.978673,0.978404,0.974431,0.979312,0.978528
0.973962,0.980807,0.978391,0.978673,0.978798,0.979015,0.980365,0.976731,0.979319,0.979567,0.979153,0.976985,0.977419,0.979513,0.978626,0.978404,0.972144,0.979373,0.979623
0.974673,0.981312,0.978521,0.978574,0.980823,0.978446,0.980777,0.977589,0.981483,0.980838,0.980095,0.976561,0.977252,0.980828,0.980535,0.980521,0.975777,0.979251,0.979623
0.973518,0.980301,0.978739,0.977532,0.978739,0.976237,0.980036,0.977589,0.979574,0.979313,0.978880,0.975798,0.976287,0.979831,0.980861,0.978509,0.976585,0.980105,0.980648
0.973029,0.979628,0.978173,0.976788,0.978917,0.976136,0.979501,0.978217,0.980210,0.977788,0.978333,0.975289,0.975575,0.978788,0.978207,0.978086,0.974701,0.979006,0.980238
0.973740,0.982616,0.981005,0.979069,0.981716,0.979517,0.980119,0.979933,0.981546,0.980685,0.980308,0.978553,0.979726,0.981553,0.979278,0.979568,0.974028,0.981326,0.983178
0.977784,0.984637,0.983227,0.982988,0.984099,0.983567,0.984564,0.982505,0.985364,0.985056,0.983620,0.983470,0.985366,0.983638,0.984447,0.984756,0.982640,0.983217,0.986803
0.982538,0.981522,0.981571,0.982343,0.981121,0.981123,0.983329,0.983649,0.984473,0.983582,0.982010,0.982071,0.984192,0.982323,0.983655,0.984756,0.987889,0.983217,0.985435
0.983826,0.982448,0.982704,0.982492,0.981419,0.982629,0.983823,0.983992,0.985301,0.982668,0.982314,0.982622,0.984192,0.982958,0.984913,0.984438,0.988831,0.982668,0.985367
0.981738,0.981732,0.981179,0.981053,0.982014,0.981224,0.982794,0.981648,0.984664,0.982312,0.981007,0.981901,0.982955,0.981100,0.983702,0.984650,0.985197,0.982424,0.984341
0.980627,0.984300,0.982747,0.982095,0.983622,0.982931,0.983000,0.981934,0.984601,0.983176,0.982861,0.981435,0.983772,0.982323,0.983003,0.983485,0.982506,0.983278,0.985845
0.977339,0.979165,0.978478,0.979020,0.978977,0.978245,0.981106,0.979361,0.981037,0.980228,0.979336,0.977663,0.979411,0.980329,0.980349,0.981262,0.982102,0.980044,0.981400
0.974851,0.979586,0.978260,0.978623,0.978441,0.978044,0.979419,0.978332,0.981228,0.979059,0.978910,0.977663,0.977231,0.979740,0.979651,0.979356,0.980756,0.980105,0.980580
0.975340,0.978576,0.978434,0.976242,0.977488,0.976504,0.979336,0.977932,0.978874,0.978347,0.977664,0.974611,0.975071,0.978833,0.977881,0.978721,0.976585,0.977908,0.977640
0.973874,0.980049,0.978739,0.976342,0.978322,0.978814,0.978760,0.976559,0.978874,0.977636,0.977847,0.976222,0.977084,0.979559,0.976950,0.977239,0.975912,0.977725,0.978939
