Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.970328,0.973529,0.977433,0.973049,0.976250,0.976769,0.972679,0.976485,0.976048,0.979942,0.975228,0.980111,0.979970,0.981047,0.961573,0.977566,0.976714
0.971095,0.975506,0.976808,0.976444,0.977271,0.978022,0.976876,0.978395,0.978114,0.981190,0.975864,0.981680,0.980583,0.982209,0.963110,0.978416,0.976665
0.971618,0.974063,0.977254,0.974407,0.975604,0.977566,0.975334,0.979595,0.976663,0.981190,0.975570,0.980282,0.981128,0.982746,0.962646,0.979436,0.977538
0.970119,0.974704,0.977344,0.973006,0.975604,0.976883,0.971223,0.977740,0.975960,0.982917,0.975228,0.980896,0.980651,0.982701,0.961515,0.978416,0.975743
0.972350,0.974384,0.976987,0.973134,0.976625,0.978500,0.973792,0.977576,0.978246,0.980998,0.973714,0.980964,0.981946,0.981539,0.962530,0.979393,0.977684
0.972211,0.974571,0.976987,0.972709,0.976965,0.976587,0.973364,0.977849,0.976312,0.981574,0.973470,0.980248,0.979561,0.981449,0.962675,0.980158,0.976180
0.970014,0.974063,0.975292,0.974661,0.977271,0.975015,0.975934,0.976758,0.976839,0.978599,0.973518,0.980896,0.981741,0.981896,0.962472,0.976929,0.976229
0.970781,0.972834,0.972081,0.974195,0.974413,0.975904,0.976019,0.976485,0.978949,0.973512,0.973958,0.980350,0.981196,0.980958,0.960616,0.977736,0.975258
0.970467,0.970884,0.974400,0.972836,0.975434,0.975084,0.976533,0.977358,0.977850,0.973704,0.970636,0.979463,0.979970,0.979527,0.960645,0.977524,0.974725
0.969595,0.970484,0.971635,0.970799,0.973018,0.971964,0.972679,0.973594,0.974202,0.968810,0.968975,0.977348,0.977654,0.977963,0.960674,0.975484,0.971038
0.969491,0.969976,0.972616,0.971945,0.970772,0.970642,0.976276,0.972448,0.976444,0.966603,0.969023,0.975779,0.977585,0.976398,0.965952,0.975399,0.971717
0.974651,0.973395,0.972259,0.975383,0.972610,0.973102,0.976704,0.973376,0.976883,0.972649,0.971613,0.976495,0.978199,0.977471,0.973232,0.976547,0.974628
0.974686,0.974410,0.976273,0.977845,0.973120,0.973717,0.975934,0.974739,0.975609,0.974472,0.972248,0.976052,0.977722,0.978544,0.980076,0.975357,0.975986
0.974582,0.975238,0.977165,0.976614,0.973903,0.972875,0.974906,0.974248,0.975872,0.975048,0.973470,0.977791,0.979016,0.977605,0.976973,0.976759,0.977150
0.974965,0.973395,0.976630,0.976996,0.974924,0.973330,0.975591,0.974849,0.977191,0.971593,0.973812,0.977177,0.980379,0.979348,0.971753,0.978756,0.976132
0.973710,0.973529,0.974400,0.975171,0.974175,0.971941,0.976105,0.973867,0.975916,0.974376,0.973470,0.977518,0.978812,0.980421,0.967286,0.977991,0.975161
0.970084,0.972915,0.971635,0.972285,0.972848,0.971144,0.969510,0.972994,0.973587,0.975624,0.973176,0.976427,0.976291,0.977918,0.962443,0.975952,0.973609
0.970084,0.971713,0.971457,0.971563,0.971725,0.970984,0.969938,0.972230,0.972664,0.974856,0.972541,0.977314,0.975610,0.978231,0.960007,0.974082,0.973609
0.969491,0.971499,0.973865,0.972157,0.971453,0.969777,0.971566,0.972666,0.975565,0.973800,0.973127,0.977007,0.976087,0.977963,0.960935,0.974762,0.972784
0.968410,0.970217,0.971100,0.971775,0.971555,0.970574,0.968225,0.972230,0.973279,0.977063,0.971369,0.977553,0.975814,0.977560,0.959369,0.974550,0.972105
0.966248,0.969362,0.971546,0.968889,0.969820,0.969527,0.966341,0.972011,0.969588,0.975144,0.969023,0.975472,0.974247,0.977113,0.956730,0.971193,0.972445
0.966980,0.969175,0.970921,0.968550,0.970466,0.970551,0.968311,0.971739,0.972576,0.975240,0.968584,0.973800,0.976427,0.976085,0.956730,0.973487,0.973124
0.965446,0.969335,0.971992,0.969653,0.970126,0.970301,0.970024,0.972175,0.972532,0.975336,0.969561,0.975915,0.976155,0.976398,0.956730,0.972978,0.971474
0.964819,0.968480,0.970654,0.968210,0.970126,0.968160,0.964543,0.968302,0.969016,0.976679,0.967460,0.973698,0.973089,0.974878,0.955744,0.971236,0.969970
0.964052,0.967946,0.970297,0.967743,0.968969,0.967887,0.963601,0.969175,0.968050,0.975912,0.966971,0.972981,0.973225,0.976264,0.955512,0.970768,0.969631
0.964714,0.968080,0.971278,0.969101,0.970398,0.968980,0.965999,0.969938,0.970203,0.976392,0.968388,0.973357,0.974383,0.976666,0.957658,0.972595,0.971571
0.966004,0.968026,0.970029,0.968380,0.970500,0.969299,0.967540,0.971084,0.971609,0.974184,0.970098,0.977450,0.973975,0.976174,0.957020,0.972298,0.968758
0.964505,0.966557,0.971367,0.968380,0.969411,0.969071,0.967626,0.970157,0.971126,0.977063,0.968193,0.976154,0.975882,0.975102,0.955976,0.972383,0.970456
0.963284,0.966504,0.971457,0.968168,0.968016,0.969071,0.965656,0.969284,0.971258,0.975336,0.967313,0.974960,0.973566,0.977024,0.954584,0.971023,0.970456
0.964784,0.967492,0.970832,0.967913,0.969650,0.970324,0.967026,0.971139,0.970599,0.973417,0.967069,0.974244,0.975542,0.975951,0.955628,0.972595,0.969437
0.965237,0.967973,0.971724,0.969186,0.970398,0.970642,0.970024,0.970920,0.972137,0.972073,0.967558,0.974926,0.974451,0.976040,0.956121,0.972340,0.970261
0.964819,0.967385,0.969762,0.969611,0.969003,0.968570,0.967369,0.970266,0.969939,0.972073,0.965945,0.975233,0.974588,0.974655,0.956005,0.972128,0.969146
0.964435,0.966878,0.969405,0.968677,0.968595,0.968866,0.967283,0.969011,0.970159,0.971593,0.965505,0.973732,0.974928,0.974833,0.953482,0.971830,0.969291
0.963877,0.966130,0.968691,0.968847,0.967744,0.968274,0.967198,0.968411,0.971917,0.966699,0.964186,0.973527,0.974451,0.974655,0.955686,0.970726,0.970116
0.965307,0.965328,0.967443,0.967149,0.967506,0.966885,0.967797,0.967647,0.968929,0.963148,0.963502,0.971378,0.972476,0.972956,0.956875,0.970301,0.967011
0.967015,0.967118,0.969227,0.969441,0.966349,0.966520,0.967026,0.966883,0.968357,0.963148,0.964040,0.969638,0.972271,0.970497,0.963922,0.968346,0.968030
0.971060,0.970243,0.973062,0.972836,0.968118,0.967499,0.967369,0.968793,0.968841,0.966987,0.965652,0.969467,0.971590,0.971615,0.973261,0.970003,0.969194
0.973396,0.972674,0.975292,0.976444,0.970568,0.971736,0.973022,0.969393,0.970906,0.968618,0.969121,0.970934,0.973021,0.973314,0.981555,0.973700,0.970892
0.974616,0.972327,0.976808,0.977251,0.971045,0.971918,0.971566,0.971739,0.972664,0.971401,0.971173,0.972845,0.974860,0.975012,0.979467,0.974465,0.972105
0.972211,0.972327,0.974043,0.974619,0.968833,0.969413,0.969339,0.969611,0.970511,0.970921,0.966971,0.972640,0.974179,0.975281,0.971579,0.971745,0.970698
0.971967,0.970884,0.973597,0.973049,0.969377,0.969185,0.970110,0.969720,0.970555,0.969674,0.967802,0.973288,0.973361,0.976934,0.966155,0.972723,0.970553
0.969909,0.970030,0.970921,0.971903,0.969173,0.968638,0.971309,0.970320,0.972049,0.971593,0.970391,0.972947,0.973430,0.975728,0.963371,0.971703,0.971183
0.965342,0.968080,0.970297,0.968083,0.966826,0.965905,0.965228,0.967538,0.970203,0.970921,0.966874,0.971378,0.970500,0.974789,0.958615,0.970428,0.968709
0.964540,0.966771,0.968424,0.967531,0.965533,0.964949,0.963943,0.967047,0.967742,0.969578,0.964773,0.970900,0.969137,0.972241,0.954961,0.967837,0.967351
0.965481,0.967252,0.969137,0.967913,0.967744,0.965518,0.969168,0.966992,0.969851,0.968522,0.966043,0.971651,0.971658,0.973582,0.955396,0.970173,0.969728
0.964365,0.967412,0.966462,0.966215,0.966723,0.964789,0.965057,0.966010,0.968225,0.969386,0.966043,0.972128,0.969069,0.973671,0.954323,0.967752,0.969582
0.964610,0.966504,0.967086,0.966725,0.966213,0.964493,0.964885,0.966938,0.967742,0.966219,0.964870,0.970934,0.970228,0.973135,0.953540,0.968431,0.967351
0.963842,0.966210,0.966105,0.966385,0.966485,0.965677,0.968397,0.967265,0.969148,0.966699,0.966434,0.971207,0.972612,0.973761,0.953685,0.968771,0.966963
0.962761,0.964447,0.967443,0.963244,0.965124,0.964675,0.964457,0.965519,0.966292,0.967274,0.964773,0.969843,0.972067,0.973180,0.952728,0.968814,0.966720
0.959902,0.962764,0.965837,0.962395,0.963865,0.963605,0.961031,0.963991,0.965149,0.968906,0.961304,0.970047,0.970159,0.972822,0.951249,0.966010,0.964682
0.962866,0.964207,0.966105,0.965409,0.966009,0.965632,0.968225,0.967156,0.968401,0.966507,0.963209,0.971310,0.972612,0.973001,0.952496,0.968219,0.968369
