Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.981427,0.985023,0.982959,0.984479,0.985706,0.981406,0.986962,0.983405,0.980084,0.986027,0.987067,0.988528,0.985460,0.983221,0.984125,0.986492,0.984083,0.987978
0.980143,0.984996,0.985046,0.985842,0.984963,0.981847,0.985251,0.982812,0.978567,0.982898,0.983246,0.986957,0.986085,0.982963,0.981799,0.985617,0.983659,0.986713
0.978373,0.982567,0.981047,0.982511,0.981859,0.978663,0.983866,0.980195,0.976778,0.982097,0.983614,0.984993,0.982489,0.979349,0.979648,0.983266,0.979627,0.985146
0.979796,0.981068,0.983133,0.981072,0.981422,0.978934,0.983051,0.979009,0.977167,0.981224,0.982218,0.986093,0.981707,0.982705,0.976159,0.982500,0.981112,0.983188
0.982087,0.981845,0.983829,0.982965,0.981247,0.978426,0.983621,0.978318,0.979151,0.982388,0.983099,0.987350,0.981707,0.983738,0.978252,0.984414,0.984826,0.983941
0.982990,0.982359,0.987133,0.983495,0.981641,0.979679,0.983132,0.978021,0.979695,0.982316,0.982438,0.987664,0.981238,0.978317,0.979473,0.982719,0.986152,0.983820
0.983302,0.982331,0.988871,0.984782,0.980985,0.979408,0.987288,0.977478,0.977828,0.981661,0.983908,0.985621,0.981395,0.979349,0.978310,0.981024,0.985728,0.983790
0.984899,0.983261,0.986785,0.983798,0.980810,0.980932,0.987696,0.979454,0.979306,0.982316,0.984275,0.985857,0.983584,0.979866,0.978775,0.982063,0.985357,0.985146
0.986218,0.984843,0.988871,0.986145,0.983083,0.982930,0.988673,0.980639,0.980395,0.982752,0.983908,0.984835,0.982489,0.982447,0.979648,0.984414,0.985675,0.986080
0.986253,0.984135,0.985916,0.985918,0.983346,0.980593,0.987940,0.981528,0.980201,0.982607,0.983540,0.985778,0.982176,0.979349,0.979299,0.985617,0.985304,0.986231
0.983302,0.982386,0.984524,0.984630,0.982122,0.980119,0.989407,0.979503,0.980084,0.980569,0.984349,0.983657,0.982802,0.979866,0.978136,0.985563,0.982226,0.986231
0.982330,0.981706,0.984872,0.985236,0.982253,0.979205,0.990874,0.979750,0.977984,0.979186,0.981189,0.983893,0.981238,0.979608,0.978194,0.984633,0.983500,0.984242
0.981601,0.982525,0.984524,0.982283,0.983127,0.978460,0.989488,0.979750,0.978450,0.982025,0.984422,0.985150,0.980300,0.979866,0.977903,0.984797,0.982810,0.985086
0.980351,0.981540,0.983307,0.981678,0.980592,0.978053,0.986066,0.979553,0.978061,0.980642,0.983173,0.984678,0.980613,0.980124,0.979241,0.983539,0.981377,0.983700
0.979622,0.980887,0.984524,0.980466,0.980810,0.977105,0.984843,0.977527,0.976855,0.981079,0.982291,0.982007,0.981707,0.979091,0.976798,0.981899,0.980263,0.983459
0.977956,0.980054,0.981221,0.981829,0.979543,0.976529,0.984925,0.978318,0.976350,0.980278,0.983540,0.985150,0.980769,0.980124,0.976973,0.981625,0.980528,0.983007
0.977331,0.980138,0.981047,0.980466,0.979892,0.976868,0.985821,0.976836,0.975572,0.979550,0.982144,0.983578,0.978268,0.976768,0.977205,0.981024,0.978247,0.982254
0.976324,0.980221,0.982090,0.981148,0.978231,0.976394,0.985740,0.977527,0.975455,0.980860,0.981189,0.983814,0.979831,0.979349,0.975286,0.982446,0.979308,0.982224
0.976776,0.979985,0.980873,0.979255,0.979630,0.975445,0.987288,0.976885,0.974872,0.980569,0.981336,0.984207,0.982958,0.976252,0.977089,0.980805,0.978300,0.982796
0.976810,0.979083,0.979134,0.979331,0.977794,0.975310,0.983540,0.975651,0.973588,0.979987,0.980528,0.985543,0.978580,0.974961,0.974356,0.980094,0.978937,0.981470
0.975075,0.979527,0.980699,0.980088,0.977357,0.974260,0.982562,0.976737,0.974055,0.979332,0.981703,0.982635,0.978893,0.978317,0.974821,0.978782,0.978831,0.980958
0.975109,0.979111,0.979134,0.978346,0.978013,0.975005,0.983947,0.976145,0.972343,0.979623,0.981630,0.983185,0.978737,0.978059,0.975170,0.979875,0.977929,0.981440
0.975179,0.978569,0.978786,0.977665,0.977357,0.974124,0.983377,0.976935,0.972654,0.978750,0.979940,0.983578,0.975766,0.976768,0.974937,0.977196,0.978088,0.980898
0.974484,0.977695,0.978786,0.978498,0.977707,0.972431,0.983458,0.976540,0.973316,0.978313,0.981556,0.982164,0.980300,0.976252,0.974647,0.980313,0.976602,0.980747
0.973755,0.977015,0.975656,0.977816,0.976352,0.974768,0.984273,0.975749,0.973627,0.977221,0.980748,0.983421,0.979049,0.972896,0.974123,0.978891,0.976815,0.980446
0.975352,0.977153,0.978786,0.978649,0.976308,0.974226,0.980851,0.975502,0.972654,0.977076,0.980968,0.982321,0.977173,0.976252,0.973367,0.978071,0.976443,0.981199
0.973547,0.977875,0.977221,0.978574,0.975958,0.972770,0.979465,0.975552,0.972888,0.976858,0.978544,0.981850,0.977486,0.977284,0.972786,0.979657,0.976284,0.980777
0.974103,0.975766,0.975656,0.975167,0.974778,0.970907,0.975880,0.972539,0.971254,0.975329,0.975678,0.980357,0.977173,0.973154,0.971856,0.975883,0.974533,0.978939
0.973061,0.974461,0.976700,0.975394,0.973817,0.971144,0.976776,0.969823,0.970009,0.974456,0.975751,0.978000,0.973734,0.969799,0.971739,0.976266,0.976019,0.977614
0.975248,0.974155,0.979830,0.975924,0.974647,0.970094,0.976206,0.970860,0.971760,0.974092,0.975751,0.979257,0.974672,0.975478,0.971041,0.976594,0.977610,0.976379
0.975457,0.974655,0.981916,0.977059,0.973729,0.971347,0.978976,0.970317,0.972188,0.974893,0.975531,0.978942,0.974359,0.972638,0.970344,0.977688,0.979573,0.977192
0.976810,0.975766,0.980525,0.976075,0.973773,0.971246,0.977428,0.972292,0.971565,0.974820,0.976633,0.981300,0.974984,0.971347,0.971041,0.976485,0.979839,0.977704
0.979345,0.976793,0.979308,0.979104,0.976833,0.973176,0.981014,0.971848,0.972732,0.976275,0.978544,0.981535,0.975141,0.975736,0.971390,0.977852,0.979998,0.978608
0.980560,0.979277,0.982438,0.977665,0.977576,0.974971,0.981584,0.972095,0.973938,0.975693,0.978837,0.981928,0.977173,0.973154,0.974181,0.979383,0.979414,0.980777
0.979136,0.977403,0.981395,0.978271,0.975565,0.972634,0.982399,0.972292,0.970787,0.974019,0.976633,0.979728,0.973265,0.973154,0.970344,0.978454,0.978831,0.978789
0.978650,0.976126,0.980873,0.977514,0.974297,0.971517,0.983621,0.971551,0.971682,0.973073,0.975751,0.979414,0.973734,0.971864,0.970809,0.976813,0.978035,0.978277
0.977991,0.976876,0.978960,0.976984,0.975609,0.972262,0.982562,0.972539,0.971449,0.973437,0.976413,0.978000,0.973421,0.971089,0.971681,0.978508,0.976708,0.978939
