Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
12.8060,0.681000,1.02279,1.14800,0.998865,1.17820,1.20381,1.18537,1.17084
12.8060,0.685000,1.03253,1.16970,1.00713,1.19708,1.20643,1.17763,1.18175
12.8070,0.686000,1.02662,1.16032,1.00486,1.18906,1.18084,1.16021,1.16883
12.8070,0.681000,1.01016,1.13336,0.994198,1.15450,1.13739,1.13853,1.14017
12.8070,0.682000,0.990502,1.09363,0.982405,1.10562,1.09166,1.10394,1.09778
12.8020,0.679000,0.977681,1.05383,0.972820,1.06108,1.05800,1.05588,1.05360
12.8010,0.679000,0.968587,1.02425,0.964464,1.02839,1.03038,1.01966,1.02190
12.8000,0.676000,0.962864,1.00464,0.962288,1.00957,1.01128,1.00116,1.00431
12.8000,0.680000,0.959089,0.991712,0.959166,0.995850,0.998103,0.989522,0.992947
12.8020,0.682000,0.956074,0.980873,0.956581,0.986029,0.986896,0.981301,0.985077
12.8010,0.679000,0.955646,0.975340,0.956738,0.979978,0.980481,0.975871,0.980325
12.8000,0.674000,0.953723,0.970172,0.955698,0.975543,0.976240,0.972821,0.973717
12.8000,0.675000,0.952132,0.968509,0.953964,0.972787,0.972446,0.970685,0.973198
12.8000,0.678000,0.951942,0.967462,0.954626,0.970253,0.969653,0.970487,0.970673
12.7990,0.677000,0.951871,0.965754,0.953901,0.967338,0.968101,0.968016,0.968966
12.8000,0.678000,0.951372,0.964912,0.952765,0.964677,0.965653,0.966812,0.967258
12.7990,0.678000,0.951064,0.963204,0.951504,0.964582,0.964722,0.966262,0.966293
12.7990,3.58000,0.949853,0.963386,0.949644,0.962998,0.963756,0.965973,0.965328
12.7960,7.56200,0.949117,0.962589,0.947909,0.960939,0.962584,0.964630,0.964288
12.7960,10.6450,0.949663,0.960882,0.948067,0.959672,0.961894,0.964356,0.963397
12.7960,13.0390,0.949948,0.960768,0.949171,0.959925,0.961342,0.965134,0.964808
12.7980,10.2770,0.952061,0.963432,0.951157,0.962650,0.966136,0.966766,0.964957
12.7980,1.22600,0.958021,0.967986,0.956139,0.980105,0.994862,0.977244,0.971639
12.7980,0.723000,0.965690,0.999613,0.961657,1.03532,1.06745,1.06089,1.02198
12.7980,0.686000,0.988437,1.07020,0.980198,1.10521,1.14166,1.13792,1.10632
12.7980,0.677000,1.01353,1.12819,0.992464,1.15054,1.17932,1.16980,1.14953
12.7980,0.676000,1.02346,1.14964,0.999149,1.17288,1.18584,1.17064,1.16245
12.7980,0.665000,1.01831,1.14472,0.995838,1.16635,1.16622,1.15676,1.15346
12.7970,0.669000,1.00240,1.11811,0.985338,1.13511,1.12587,1.13638,1.12867
12.7980,0.669000,0.985445,1.07974,0.974049,1.08715,1.08001,1.09915,1.08672
12.8040,0.673000,0.971911,1.04151,0.966103,1.04483,1.04359,1.05058,1.04343
12.8030,0.674000,0.963173,1.01159,0.959009,1.01593,1.01924,1.01563,1.01678
12.8040,0.675000,0.956359,0.994421,0.955351,0.999430,1.00148,0.995729,0.997847
12.8050,0.674000,0.952631,0.981761,0.952135,0.987392,0.989999,0.984580,0.988566
12.8030,0.674000,0.949235,0.973154,0.947594,0.977793,0.979240,0.976893,0.979954
12.8050,0.672000,0.949212,0.969170,0.948319,0.975005,0.974412,0.973507,0.975648
12.8050,0.674000,0.948523,0.964456,0.946459,0.969397,0.968998,0.970670,0.973792
12.8060,0.671000,0.945888,0.962293,0.942423,0.965216,0.966101,0.966781,0.968817
12.8040,0.672000,0.946552,0.960995,0.942486,0.962460,0.962653,0.965393,0.967704
12.8030,0.671000,0.946695,0.959538,0.944031,0.961541,0.961377,0.964905,0.965699
12.8030,0.671000,0.945318,0.959447,0.942139,0.957898,0.959963,0.963456,0.963323
12.8030,0.673000,0.944890,0.957830,0.942234,0.957676,0.959377,0.962343,0.961319
3.20900,3.72800,0.945199,0.958286,0.942581,0.957454,0.958963,0.962846,0.963991
3.20900,7.65500,0.945056,0.958832,0.940657,0.954983,0.956687,0.961855,0.962210
3.20800,10.6840,0.943798,0.959128,0.942076,0.953969,0.957342,0.961138,0.962655
3.20900,13.1020,0.944629,0.958445,0.943558,0.954476,0.957376,0.961062,0.960576
3.20900,12.6630,0.948689,0.959698,0.945261,0.955997,0.960308,0.962190,0.961244
3.21000,1.34300,0.951871,0.963364,0.950022,0.966926,0.977619,0.966933,0.964585
3.21100,0.728000,0.954435,0.967439,0.952103,0.985301,1.00045,0.980325,0.972678
3.21100,0.680000,0.953984,0.972676,0.951851,0.990623,1.00597,0.988408,0.976687
